Order_ID,Order_Date,Region,Sales_Rep,Product_Category,Revenue,Discount,Target,Net_Revenue,Month,Year,Margin_%
ORD0001,2024-12-22,West,James Wilson,Software,1754.2,0.13,20831.42,1754.07,12,2024,99.99258921445673
ORD0002,2024-10-24,East,Linda Davis,Electronics,19834.97,0.07,7502.1,19834.9,10,2024,99.99964708794619
ORD0003,2024-04-19,East,John Smith,Accessories,17139.86,0.08,11821.59,17139.78,4,2024,99.99953325173017
ORD0004,2024-09-13,South,James Wilson,Furniture,16920.83,0.08,16017.8,16920.75,9,2024,99.99952720995364
ORD0005,2024-08-29,East,David Brown,Electronics,5666.91,0.1,19680.63,5666.8099999999995,8,2024,99.99823536989292
ORD0006,2024-03-02,West,John Smith,Electronics,17066.51,0.14,18795.19,17066.37,3,2024,99.99917967996971
ORD0007,2024-03-11,North,David Brown,Furniture,9894.99,0.23,23918.03,9894.76,3,2024,99.99767559138513
ORD0008,2024-12-16,South,James Wilson,Office Supplies,18278.68,0.03,24439.61,18278.65,12,2024,99.99983587436293
ORD0009,2024-02-25,West,John Smith,Accessories,5067.75,0.15,7754.39,5067.6,2,2024,99.99704010655617
ORD0010,2024-07-11,West,Linda Davis,Software,15118.95,0.07,20639.33,15118.880000000001,7,2024,99.9995370048846
ORD0011,2024-01-24,West,James Wilson,Software,2461.35,0.04,10910.97,2461.31,1,2024,99.99837487557642
ORD0012,2024-04-15,North,David Brown,Software,1478.77,0.12,8162.3,1478.65,4,2024,99.99188514779175
ORD0013,2024-05-12,North,David Brown,Accessories,19314.13,0.15,8306.96,19313.98,5,2024,99.99922336651974
ORD0014,2024-08-25,North,Mary Johnson,Office Supplies,1607.76,0.2,19227.44,1607.56,8,2024,99.98756033238791
ORD0015,2024-01-10,East,David Brown,Accessories,18462.11,0.08,18223.63,18462.03,1,2024,99.99956668008151
ORD0016,2024-05-13,South,Linda Davis,Electronics,13599.96,0.24,17075.25,13599.72,5,2024,99.99823528892732
ORD0017,2024-05-26,South,Linda Davis,Furniture,4258.46,0.22,21549.54,4258.24,5,2024,99.9948338131625
ORD0018,2024-10-26,East,Mary Johnson,Accessories,1363.54,0.22,22938.11,1363.32,10,2024,99.98386552649721
ORD0019,2024-06-24,East,Mary Johnson,Software,18498.95,0.21,13214.51,18498.74,6,2024,99.99886480043463
ORD0020,2024-12-29,West,David Brown,Accessories,17230.19,0.2,8227.07,17229.989999999998,12,2024,99.99883924669432
ORD0021,2024-03-11,North,James Wilson,Office Supplies,15990.41,0.23,19353.42,15990.18,3,2024,99.9985616378817
